Index,Cr,Co,Cu,Fe,Mo,Mn,Ni,Ti
187,11.55,10.34,13.87,14.24,8.72,12.64,14.53,14.1
188,11.83,10.86,14.2,14.48,9.72,12.62,12.66,13.65
189,9.63,12.11,11.56,14.59,10.84,15.01,12.01,14.26
190,9.46,12.9,11.36,13.31,13.52,15.36,11.31,12.78
191,9.32,15.34,11.18,11.96,13.95,15.94,10.36,11.96
192,9.14,15.6,10.96,11.95,14.18,15.8,9.97,12.4
193,7.83,18.53,9.4,11.87,15.89,15.89,8.55,12.05
194,6.67,20.39,8.0,11.14,17.4,17.4,7.74,11.26
195,6.35,21.37,7.62,9.9,18.36,19.8,6.44,10.15
196,5.88,22.71,7.06,10.14,19.17,19.54,5.75,9.73
197,5.42,24.03,6.51,10.62,21.43,18.78,4.55,8.65
198,4.87,25.6,5.84,8.51,23.31,18.2,4.9,8.78
199,5.34,27.07,6.41,7.53,23.94,18.25,3.82,7.63
200,17.33,4.1,20.79,12.6,2.7,6.3,22.86,13.32
201,16.85,3.96,20.22,13.15,3.0,7.66,21.58,13.59
202,15.88,5.0,19.06,12.65,3.42,8.63,21.07,14.29
203,15.61,6.07,18.74,13.27,2.77,9.03,20.13,14.38
204,14.27,6.31,17.13,13.28,5.19,9.92,18.69,15.21
205,14.82,6.15,17.78,13.1,5.99,10.29,17.06,14.82
206,13.43,8.07,16.12,14.45,5.33,12.04,15.89,14.66
207,12.12,9.11,14.54,13.22,6.61,13.62,15.14,15.62
208,11.17,9.18,13.4,13.96,7.83,13.75,15.23,15.48
209,11.32,11.56,13.59,12.87,9.44,13.94,13.38,13.9
210,10.13,12.89,12.15,12.14,9.79,14.69,12.93,15.28
211,9.56,14.25,11.48,11.87,10.81,16.33,11.45,14.25
212,9.06,14.22,10.87,11.34,12.44,16.83,11.42,13.83
213,8.4,16.18,10.08,11.66,13.67,18.29,8.93,12.78
214,7.91,18.65,9.5,10.89,14.97,18.47,7.7,11.9
215,7.68,20.45,9.22,9.31,16.3,17.99,6.86,12.19
216,6.46,21.61,7.75,9.47,17.24,19.51,6.59,11.37
217,6.0,22.65,7.2,9.14,19.35,17.94,6.12,11.61
218,5.57,26.6,6.69,8.23,19.42,20.06,4.31,9.12
219,4.95,28.19,5.94,5.93,22.69,17.58,5.64,9.08
220,4.54,28.22,5.45,6.49,23.01,19.07,4.96,8.26
221,16.31,4.13,19.58,12.08,2.47,7.69,22.57,15.16
222,16.34,4.16,19.61,11.88,3.44,8.91,21.2,14.45
223,14.88,3.97,17.86,12.22,3.78,8.0,22.0,17.28
224,14.55,5.36,17.46,12.88,3.48,9.74,20.04,16.49
225,13.87,6.5,16.64,11.91,4.9,10.68,19.33,16.18
226,12.74,7.27,15.29,11.58,5.62,12.95,18.6,15.94
227,12.79,7.49,15.35,12.25,6.67,11.78,17.67,16.0
228,11.96,9.05,14.35,13.33,6.77,13.54,15.51,15.51
229,11.61,9.27,13.93,12.47,7.1,14.77,14.5,16.35
230,10.37,11.43,12.44,11.5,8.28,17.01,12.69,16.28
231,9.82,12.76,11.79,12.09,9.3,16.56,12.05,15.63
232,9.05,13.73,10.85,11.17,10.12,17.5,11.64,15.94
233,8.83,14.58,10.59,10.32,12.04,17.96,10.32,15.36
234,7.97,17.75,9.56,9.86,13.48,17.71,8.69,14.97
235,7.67,19.52,9.2,9.1,13.94,18.97,8.6,13.01
236,6.39,20.08,7.67,9.68,15.66,19.18,8.66,12.67
237,6.73,22.46,8.08,8.02,16.04,19.42,7.35,11.9
238,5.5,23.82,6.6,8.46,18.45,20.57,5.54,11.07
239,4.51,25.19,5.41,8.02,19.39,19.58,6.71,11.19
240,4.92,27.38,5.9,7.08,20.86,20.68,4.02,9.16
